ProgramCode,CourseCode,CourseTitle,CourseTerm,CourseYear,CourseCredits,SectionNumber,LMSCourseID,LMSSectionID,AssignmentTitle,AssignmentType,AssignmentID,AdministeredAt,OutcomeCode,OutcomeTitle,OutcomeDescription,MappingWeight,TotalStudents,AvgAssignmentScore,MaxPoints
PHARMD,PHAR-501,Pharmaceutical Sciences I,Fall,2024,3,001,12345,12345-001,Midterm Exam 1,Exam,EXAM-501-001,2024-10-15,OBJ-1.1,Apply pharmacokinetic principles,Students will apply pharmacokinetic principles to calculate drug dosing and predict drug concentrations in the body,1.0,85,78.5,100
PHARMD,PHAR-501,Pharmaceutical Sciences I,Fall,2024,3,001,12345,12345-001,Midterm Exam 1,Exam,EXAM-501-001,2024-10-15,OBJ-1.2,Evaluate drug-drug interactions,Students will evaluate potential drug-drug interactions and recommend appropriate interventions,0.8,85,72.3,100
PHARMD,PHAR-501,Pharmaceutical Sciences I,Fall,2024,3,001,12345,12345-001,Quiz 1,Quiz,QUIZ-501-001,2024-09-20,OBJ-1.1,Apply pharmacokinetic principles,Students will apply pharmacokinetic principles to calculate drug dosing and predict drug concentrations in the body,1.0,85,82.1,50
PHARMD,PHAR-501,Pharmaceutical Sciences I,Fall,2024,3,001,12345,12345-001,Final Exam,Exam,EXAM-501-002,2024-12-10,OBJ-1.1,Apply pharmacokinetic principles,Students will apply pharmacokinetic principles to calculate drug dosing and predict drug concentrations in the body,1.0,85,81.4,150
PHARMD,PHAR-501,Pharmaceutical Sciences I,Fall,2024,3,001,12345,12345-001,Final Exam,Exam,EXAM-501-002,2024-12-10,OBJ-1.2,Evaluate drug-drug interactions,Students will evaluate potential drug-drug interactions and recommend appropriate interventions,1.0,85,75.6,150
PHARMD,PHAR-502,Clinical Skills I,Fall,2024,4,001,12346,12346-001,OSCE Station 1,OSCE,OSCE-502-001,2024-11-05,OBJ-2.1,Demonstrate patient counseling skills,Students will demonstrate effective patient counseling techniques including clear communication and active listening,1.0,82,88.2,100
PHARMD,PHAR-502,Clinical Skills I,Fall,2024,4,001,12346,12346-001,OSCE Station 1,OSCE,OSCE-502-001,2024-11-05,OBJ-2.2,Perform medication history interviews,Students will perform comprehensive medication history interviews following best practices,0.7,82,85.7,100
PHARMD,PHAR-502,Clinical Skills I,Fall,2024,4,001,12346,12346-001,Case Presentation 1,Assignment,CASE-502-001,2024-10-18,OBJ-2.1,Demonstrate patient counseling skills,Students will demonstrate effective patient counseling techniques including clear communication and active listening,0.5,82,90.3,25
PHARMD,PHAR-502,Clinical Skills I,Fall,2024,4,001,12346,12346-001,Midterm Practical,Practical,PRACT-502-001,2024-10-25,OBJ-2.2,Perform medication history interviews,Students will perform comprehensive medication history interviews following best practices,1.0,82,83.4,75
PHARMD,PHAR-502,Clinical Skills I,Fall,2024,4,002,12346,12346-002,OSCE Station 1,OSCE,OSCE-502-001,2024-11-06,OBJ-2.1,Demonstrate patient counseling skills,Students will demonstrate effective patient counseling techniques including clear communication and active listening,1.0,78,86.5,100
PHARMD,PHAR-502,Clinical Skills I,Fall,2024,4,002,12346,12346-002,OSCE Station 1,OSCE,OSCE-502-001,2024-11-06,OBJ-2.2,Perform medication history interviews,Students will perform comprehensive medication history interviews following best practices,0.7,78,84.1,100
